"transaction_id","timestamp","sender_account","receiver_account","amount","transaction_type","merchant_category","location","device_used","is_fraud","fraud_type","time_since_last_transaction","spending_deviation_score","velocity_score","geo_anomaly_score","payment_channel","ip_address","device_hash"
"T100000","2023-08-22T09:22:43.516168","ACC877572","ACC388389",343.78,"withdrawal","utilities","Tokyo","mobile","False","",NA,-0.21,3,0.22,"card","13.101.214.112","D8536477"
"T100001","2023-08-04T01:58:02.606711","ACC895667","ACC944962",419.65,"withdrawal","online","Toronto","atm","False","",NA,-0.14,7,0.96,"ACH","172.52.47.194","D2622631"
"T100002","2023-05-12T11:39:33.742963","ACC733052","ACC377370",2773.86,"deposit","other","London","pos","False","",NA,-1.78,20,0.89,"card","185.98.35.23","D4823498"
"T100003","2023-10-10T06:04:43.195112","ACC996865","ACC344098",1666.22,"deposit","online","Sydney","pos","False","",NA,-0.6,6,0.37,"wire_transfer","107.136.36.87","D9961380"
"T100004","2023-09-24T08:09:02.700162","ACC584714","ACC497887",24.43,"transfer","utilities","Toronto","mobile","False","",NA,0.79,13,0.27,"ACH","108.161.108.255","D7637601"
"T100005","2023-11-20T17:49:27.940971","ACC581141","ACC249811",58.77,"transfer","entertainment","Berlin","atm","False","",NA,-1.63,19,0.4,"UPI","112.70.252.46","D1790481"
"T100006","2023-11-11T11:15:41.359248","ACC757924","ACC267753",59.51,"payment","travel","Dubai","pos","False","",NA,-2.62,1,0.68,"UPI","58.136.174.57","D5924115"
"T100007","2023-06-09T06:32:36.945101","ACC103402","ACC857168",29.79,"transfer","entertainment","London","atm","False","",NA,-0.48,5,0.37,"ACH","82.0.165.250","D1326765"
"T100008","2023-02-11T06:57:40.585720","ACC972064","ACC945964",16,"transfer","utilities","New York","web","False","",NA,0.99,3,0.98,"card","64.65.243.84","D5446912"
"T100009","2023-07-13T09:25:20.560022","ACC543692","ACC322086",203.05,"withdrawal","grocery","Dubai","atm","False","",NA,0.59,17,0.45,"UPI","126.115.32.173","D1352896"
"T100010","2023-08-04T00:35:03.745267","ACC717024","ACC330914",1237.07,"deposit","travel","New York","web","False","",NA,1.64,3,0.51,"card","142.248.109.67","D8930103"
"T100011","2023-03-31T07:39:21.036192","ACC946721","ACC526833",465.45,"withdrawal","travel","London","pos","False","",NA,-1.11,14,0.41,"wire_transfer","27.50.31.206","D6692553"
"T100012","2023-10-20T08:11:25.422535","ACC360735","ACC300896",14.18,"withdrawal","other","Tokyo","pos","False","",NA,-0.14,3,0.44,"ACH","50.25.7.47","D4965789"
"T100013","2023-03-03T07:53:07.184005","ACC604740","ACC324130",34.58,"payment","retail","Tokyo","pos","False","",NA,0.75,13,0.27,"card","232.146.216.249","D3597059"
"T100014","2023-03-11T13:30:19.142152","ACC161324","ACC707314",1283.35,"deposit","restaurant","New York","mobile","False","",NA,-1.96,6,0.06,"UPI","41.95.35.34","D4946066"
